execucao,custo,energia,chegou,vivo,caminho
0,6.0,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
1,8.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
2,7.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
3,9.0,35,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]"
4,6.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
5,6.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]"
6,5.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
7,6.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
8,6.0,35,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
9,9.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]"
10,7.5,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]"
11,8.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]"
12,6.0,35,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[3,2]"
13,7.0,15,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,2]"
14,10.5,65,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,2]>[1,3]>[1,4]>[1,5]"
15,10.5,20,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]"
16,6.0,10,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
17,6.0,10,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
18,9.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[4,3]>[5,4]"
19,9.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]>[4,5]"
20,5.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
21,10.5,40,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]"
22,7.0,45,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
23,7.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
24,7.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
25,8.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
26,6.0,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
27,12.0,70,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
28,8.0,25,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
29,7.5,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]"
30,8.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]"
31,9.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]>[5,4]>[4,5]"
32,6.5,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,3]"
33,7.0,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
34,13.5,75,true,true,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[1,2]>[1,3]>[1,4]>[1,5]>[2,6]"
35,12.0,0,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
